java.lang.Object::MockObject	java.lang.Object
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2Many::MockObject	com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2Many
com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Include::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Include
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity::MockObject	com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2TwoPhase::MockObject	com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2TwoPhase
com.ibm.websphere.samples.daytrader.web.prims.PingReentryServlet::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingReentryServlet
com.ibm.websphere.samples.daytrader.web.prims.PingServlet2ServletRcv::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingServlet2ServletRcv
com.ibm.websphere.samples.daytrader.web.prims.PingServlet2IncludeRcv::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingServlet2IncludeRcv
com.ibm.websphere.samples.daytrader.impl.session2direct.DirectSLSBBean::MockObject	com.ibm.websphere.samples.daytrader.impl.session2direct.DirectSLSBBean
com.ibm.websphere.samples.daytrader.web.prims.cdi.PingCDIJSFBean::MockObject	com.ibm.websphere.samples.daytrader.web.prims.cdi.PingCDIJSFBean
com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF::MockObject	com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP::MockObject	com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP
com.ibm.websphere.samples.daytrader.web.prims.PingJDBCWrite::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingJDBCWrite
com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF::MockObject	com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session::MockObject	com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session
com.ibm.websphere.samples.daytrader.web.prims.PingManagedThread::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingManagedThread
com.ibm.websphere.samples.daytrader.web.prims.http2.PingServletPush::MockObject	com.ibm.websphere.samples.daytrader.web.prims.http2.PingServletPush
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Entity::MockObject	com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Entity
com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead2JSP::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead2JSP
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBTopic::MockObject	com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBTopic
com.ibm.websphere.samples.daytrader.web.prims.PingServlet2JNDI::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingServlet2JNDI
com.ibm.websphere.samples.daytrader.jaxrs.QuoteResource::MockObject	com.ibm.websphere.samples.daytrader.jaxrs.QuoteResource
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2EntityCollection::MockObject	com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2EntityCollection
com.ibm.websphere.samples.daytrader.web.prims.PingServletSetContentLength::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingServletSetContentLength
com.ibm.websphere.samples.daytrader.web.websocket.QuotePriceChangeListEncoder::MockObject	com.ibm.websphere.samples.daytrader.web.websocket.QuotePriceChangeListEncoder
com.ibm.websphere.samples.daytrader.web.servlet.OrdersAlertFilter::MockObject	com.ibm.websphere.samples.daytrader.web.servlet.OrdersAlertFilter
com.ibm.websphere.samples.daytrader.web.prims.PingJSONPStreaming::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingJSONPStreaming
com.ibm.websphere.samples.daytrader.web.prims.PingSession2::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingSession2
com.ibm.websphere.samples.daytrader.web.prims.cdi.PingServletCDIBeanManagerViaJNDI::MockObject	com.ibm.websphere.samples.daytrader.web.prims.cdi.PingServletCDIBeanManagerViaJNDI
com.ibm.websphere.samples.daytrader.web.prims.PingSession1::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingSession1
com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Servlet::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Servlet
com.ibm.websphere.samples.daytrader.web.prims.jaxrs.TestJSONObject::MockObject	com.ibm.websphere.samples.daytrader.web.prims.jaxrs.TestJSONObject
com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Jsp::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Jsp
com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead
com.ibm.websphere.samples.daytrader.web.prims.cdi.PingServletCDIEventAsync::MockObject	com.ibm.websphere.samples.daytrader.web.prims.cdi.PingServletCDIEventAsync
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One::MockObject	com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One
com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF::MockObject	com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF
com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder::MockObject	com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder
com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder::MockObject	com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder
com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$1::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$1
com.ibm.websphere.samples.daytrader.web.websocket.JsonDecoder::MockObject	com.ibm.websphere.samples.daytrader.web.websocket.JsonDecoder
com.ibm.websphere.samples.daytrader.web.servlet.TradeWebContextListener::MockObject	com.ibm.websphere.samples.daytrader.web.servlet.TradeWebContextListener
com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Handler::MockObject	com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Handler
com.ibm.websphere.samples.daytrader.web.prims.jaxrs.JAXRSSyncService::MockObject	com.ibm.websphere.samples.daytrader.web.prims.jaxrs.JAXRSSyncService
